City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Meadow Lake,US,63.61,few clouds,34.8014,-106.5436,TumbleWeed RV Park
2,Nelson Bay,AU,68.0,broken clouds,-32.7167,152.15,Mantra Nelson Bay
4,Bredasdorp,ZA,62.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
15,Victoria,HK,62.58,broken clouds,22.2855,114.1577,Mini Hotel Central
16,Port Macquarie,AU,66.16,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
22,Cape Town,ZA,66.34,overcast clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
29,Lebu,CL,60.28,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
30,Mar Del Plata,AR,60.87,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
31,Airai,TL,61.72,moderate rain,-8.9266,125.4092,Juvinal Martin
40,Hobart,AU,60.03,overcast clouds,-42.8794,147.3294,Mantra on Collins Hobart
44,Kifri,IQ,65.19,overcast clouds,34.6959,44.9661,Layla jasm
45,Chhatak,BD,68.18,few clouds,25.0333,91.6667,Hotel Sadi Internationl
59,Lawton,US,68.47,clear sky,34.6087,-98.3903,Holiday Inn Express & Suites Lawton-Fort Sill
62,Alice Springs,AU,67.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
63,Hermanus,ZA,63.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
68,Gopalpur,IN,69.62,few clouds,19.2667,84.9167,Gopalpur Palm Resort
71,Mildura,AU,66.16,clear sky,-34.2,142.15,Mercure Hotel Mildura
91,Camabatela,AO,63.43,overcast clouds,-8.1881,15.375,Pensão E Restaurantes
113,Plettenberg Bay,ZA,62.51,clear sky,-34.0527,23.3716,Thanda Vista B&B
120,Flinders,AU,63.37,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
121,Ngunguru,NZ,62.17,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
126,Port Alfred,ZA,68.9,scattered clouds,-33.5906,26.891,The Halyards Hotel
134,Ponta Do Sol,PT,67.71,scattered clouds,32.6667,-17.1,Hotel do Campo
140,Mattawa,US,66.72,overcast clouds,46.7379,-119.9028,Sun & Sand Mobile Home Park
148,Tura,IN,63.5,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
150,Gorgan,IR,62.56,overcast clouds,36.8387,54.4348,Khayyam Motel
153,Port Elizabeth,ZA,69.1,clear sky,-33.918,25.5701,39 On Nile Guest House
158,Carnarvon,AU,68.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
159,Iquique,CL,68.04,broken clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
163,Kruisfontein,ZA,66.88,light rain,-34.0033,24.7314,Oyster Bay House Rental
174,Chuy,UY,68.77,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
177,Jalu,LY,60.93,broken clouds,29.0331,21.5482,صاحبة الفخامة
179,East London,ZA,69.46,scattered clouds,-33.0153,27.9116,Tu Casa
181,Ancud,CL,61.43,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
185,Talaja,IN,68.43,moderate rain,21.35,72.05,Velvettas Resorts
192,Mehran,IR,69.28,overcast clouds,33.1222,46.1646,بوتیک زنانه بهار
202,Casablanca,MA,61.02,few clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
207,Nouadhibou,MR,69.78,clear sky,20.931,-17.0347,El Medina
221,Ballina,AU,68.77,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
223,Kaeo,NZ,62.33,overcast clouds,-35.1,173.7833,Bushido Lodge
225,Tanda,IN,65.66,overcast clouds,26.55,82.65,MUMTAZ GANJ TANDA
226,Okato,NZ,62.42,overcast clouds,-39.2,173.8833,Goodin Country Garden
235,Geraldton,AU,61.21,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
240,Vila Franca Do Campo,PT,67.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
248,Saint George,US,65.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
254,Taltal,CL,66.97,clear sky,-25.4,-70.4833,Residencial Karime
255,Ribeira Grande,PT,64.8,broken clouds,38.5167,-28.7,Quinta da Meia Eira
259,Lagoa,PT,62.8,scattered clouds,39.05,-27.9833,Casa Das Faias
279,Phitsanulok,TH,65.7,scattered clouds,16.9167,100.5,บ้านโนบิตะ พิษณุโลก
284,Praia Da Vitoria,PT,64.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
296,Ahipara,NZ,61.72,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
306,Puerto Baquerizo Moreno,EC,69.49,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
312,Ponta Delgada,PT,67.5,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
323,Pittsburg,US,67.66,clear sky,38.028,-121.8847,Hampton Inn & Suites Pittsburg
332,Ihosy,MG,69.51,light rain,-22.4,46.1167,Hotely Sariaka
334,Saldanha,ZA,62.65,broken clouds,-33.0117,17.9442,Blue Bay Lodge
348,Tahta,EG,68.32,few clouds,26.7693,31.5021,مصطفي عساف
350,Marsa Matruh,EG,64.6,scattered clouds,31.3525,27.2453,Beau Site
