City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Meadow Lake,US,34.8014,-106.5436,63.61,29,21,7.7,few clouds
1,Thompson,CA,55.7435,-97.8558,7.65,91,100,9.57,overcast clouds
2,Nelson Bay,AU,-32.7167,152.15,68.0,97,76,4.32,broken clouds
3,Skuodas,LT,56.2667,21.5333,30.06,86,100,9.93,overcast clouds
4,Bredasdorp,ZA,-34.5322,20.0403,62.28,70,93,11.86,overcast clouds
5,Jamestown,US,42.097,-79.2353,40.59,69,40,11.5,scattered clouds
6,Kosa,RU,59.9445,54.9977,29.26,99,100,1.23,light snow
7,Leshukonskoye,RU,64.8989,45.7622,21.22,96,100,6.13,light snow
8,Severo-Kurilsk,RU,50.6789,156.125,43.81,92,99,36.89,heavy intensity rain
9,Berlevag,NO,70.8578,29.0864,32.0,74,75,31.07,light shower snow
10,Ushuaia,AR,-54.8,-68.3,53.26,40,40,20.71,light rain
11,Iquitos,PE,-3.7481,-73.2472,91.44,62,75,3.44,broken clouds
12,Mayo,US,38.8876,-76.5119,59.38,59,6,5.99,clear sky
13,Albany,US,42.6001,-73.9662,43.45,68,99,7.9,overcast clouds
14,Slobodskoy,RU,58.7322,50.1772,22.35,96,98,4.59,overcast clouds
15,Victoria,HK,22.2855,114.1577,62.58,45,71,1.01,broken clouds
16,Port Macquarie,AU,-31.4333,152.9167,66.16,100,90,5.75,overcast clouds
17,Biak,ID,-0.9131,122.8766,76.71,81,100,0.98,overcast clouds
18,Cherskiy,RU,68.75,161.3,-20.94,97,100,5.95,overcast clouds
19,Mataura,NZ,-46.1927,168.8643,52.48,97,26,1.81,scattered clouds
20,Longyearbyen,SJ,78.2186,15.6401,6.64,72,20,6.91,few clouds
21,Busselton,AU,-33.65,115.3333,54.05,87,4,9.22,clear sky
22,Cape Town,ZA,-33.9258,18.4232,66.34,60,88,15.21,overcast clouds
23,Fengcheng,CN,40.4536,124.0717,19.27,87,4,1.83,clear sky
24,Rikitea,PF,-23.1203,-134.9692,76.14,68,2,20.29,clear sky
25,Portland,US,45.5234,-122.6762,59.2,92,75,4.0,broken clouds
26,Atuona,PF,-9.8,-139.0333,78.49,78,38,23.38,light rain
27,Tasiilaq,GL,65.6145,-37.6368,19.92,93,100,28.92,snow
28,La Ronge,CA,55.1001,-105.2842,18.93,91,100,7.96,light snow
29,Lebu,CL,-37.6167,-73.65,60.28,62,100,7.36,overcast clouds
