City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-11-10 17:56:47,-54.8,-68.3,55.06,50,20,4.61
1,Mataura,NZ,2021-11-10 18:00:21,-46.1927,168.8643,50.9,98,82,2.95
2,Castro,BR,2021-11-10 18:00:22,-24.7911,-50.0119,73.89,64,62,5.55
3,Ouargaye,BF,2021-11-10 18:00:22,11.5033,0.0572,91.69,27,19,2.1
4,Albany,US,2021-11-10 17:59:46,42.6001,-73.9662,59.16,41,46,4.0
5,Santa Barbara,US,2021-11-10 18:00:23,34.7333,-120.0343,63.84,45,1,7.29
6,Aguimes,ES,2021-11-10 18:00:23,27.9054,-15.4461,66.83,65,20,13.8
7,New Norfolk,AU,2021-11-10 18:00:23,-42.7826,147.0587,47.7,75,81,1.01
8,Luohe,CN,2021-11-10 18:00:19,33.5717,114.0353,48.24,43,0,9.66
9,Farsund,NO,2021-11-10 18:00:24,58.0948,6.8047,49.05,72,56,10.31
10,Riyadh,SA,2021-11-10 17:55:27,24.6877,46.7219,75.34,28,2,10.47
11,Butaritari,KI,2021-11-10 18:00:24,3.0707,172.7902,81.73,65,36,13.85
12,Kamakwie,SL,2021-11-10 18:00:25,9.5,-12.2333,78.58,87,98,4.54
13,Hermanus,ZA,2021-11-10 18:00:25,-34.4187,19.2345,63.9,84,42,4.79
14,Cherskiy,RU,2021-11-10 17:57:27,68.75,161.3,-12.69,100,96,6.11
15,Jamestown,US,2021-11-10 17:58:13,42.097,-79.2353,58.3,41,24,1.01
16,Pevek,RU,2021-11-10 17:56:47,69.7008,170.3133,6.64,97,98,4.9
17,Melong,CM,2021-11-10 18:00:26,5.1218,9.9614,69.12,95,83,1.74
18,Antofagasta,CL,2021-11-10 18:00:26,-23.65,-70.4,69.22,54,1,9.86
19,Hilo,US,2021-11-10 18:00:26,19.7297,-155.09,77.61,90,76,4.0
20,Dekar,BW,2021-11-10 18:00:27,-21.5333,21.9333,82.42,19,89,6.44
21,Oranjemund,NA,2021-11-10 18:00:27,-28.55,16.4333,62.1,76,0,18.63
22,Hove,GB,2021-11-10 18:00:27,50.8309,-0.1672,56.01,89,75,1.01
23,Vardo,NO,2021-11-10 17:58:48,70.3705,31.1107,33.78,75,75,16.11
24,Barrow,US,2021-11-10 17:57:03,71.2906,-156.7887,14.63,94,98,11.72
25,Kanakapura,IN,2021-11-10 18:00:28,12.55,77.4167,65.79,98,100,2.64
26,Xinyu,CN,2021-11-10 17:56:14,27.8043,114.9334,49.37,66,1,2.04
27,Airai,TL,2021-11-10 18:00:28,-8.9266,125.4092,63.3,95,98,1.36
28,Puerto Del Rosario,ES,2021-11-10 18:00:29,28.5004,-13.8627,69.55,68,20,3.44
29,Hobyo,SO,2021-11-10 18:00:29,5.3505,48.5268,80.71,72,23,11.34
30,Marsabit,KE,2021-11-10 18:00:29,2.3284,37.9899,72.81,51,49,9.13
31,Saint-Joseph,RE,2021-11-10 18:00:30,-21.3667,55.6167,72.21,77,37,9.19
32,Rikitea,PF,2021-11-10 17:56:46,-23.1203,-134.9692,72.41,83,100,15.43
33,Avarua,CK,2021-11-10 18:00:30,-21.2078,-159.775,75.25,83,60,9.22
34,Raga,SS,2021-11-10 18:00:31,8.4596,25.678,84.31,44,83,5.17
35,Atuona,PF,2021-11-10 18:00:31,-9.8,-139.0333,78.1,68,24,14.99
36,Busselton,AU,2021-11-10 17:58:13,-33.65,115.3333,48.04,86,59,9.53
37,Saint-Philippe,RE,2021-11-10 17:56:55,-21.3585,55.7679,73.22,78,51,9.28
38,Hofn,IS,2021-11-10 17:58:22,64.2539,-15.2082,39.22,60,75,14.97
39,Dingle,PH,2021-11-10 17:59:03,10.9995,122.6711,76.32,94,89,7.43
40,Port Alfred,ZA,2021-11-10 18:00:32,-33.5906,26.891,63.64,81,46,9.53
41,Narsaq,GL,2021-11-10 18:00:32,60.9167,-46.05,19.62,71,0,4.5
42,Punta Arenas,CL,2021-11-10 18:00:33,-53.15,-70.9167,57.11,33,33,10.29
43,Wanxian,CN,2021-11-10 18:00:33,30.8039,108.3897,50.67,79,36,1.5
44,Dikson,RU,2021-11-10 18:00:33,73.5069,80.5464,-6.77,93,35,9.42
45,Severo-Kurilsk,RU,2021-11-10 18:00:34,50.6789,156.125,40.96,90,100,24.63
46,Ponta Do Sol,PT,2021-11-10 18:00:34,32.6667,-17.1,71.01,64,74,2.71
47,Ponta Delgada,PT,2021-11-10 18:01:35,37.7333,-25.6667,72.5,88,75,6.91
48,Galesong,ID,2021-11-10 18:01:35,-5.3166,119.3661,75.22,83,98,4.29
49,Comodoro Rivadavia,AR,2021-11-10 17:59:15,-45.8667,-67.5,73.26,23,32,24.16
50,Wankaner,IN,2021-11-10 18:01:35,22.6167,70.9333,77.07,27,86,6.46
51,Pychas,RU,2021-11-10 18:01:36,56.5033,52.4409,23.05,83,7,6.06
52,Santa Maria,BR,2021-11-10 18:01:36,-29.6842,-53.8069,76.86,40,92,11.12
53,Dolores,AR,2021-11-10 18:01:37,-36.3132,-57.6792,71.78,44,48,8.7
54,Khatanga,RU,2021-11-10 18:01:37,71.9667,102.5,-24.75,100,84,5.59
55,Talnakh,RU,2021-11-10 18:01:37,69.4865,88.3972,-8.75,95,54,2.53
56,Penzance,GB,2021-11-10 18:01:38,50.1186,-5.5371,56.41,91,85,9.1
